age_group,country,first_trip_tz,ID,info_source,main_activity,most_impressing,Sum of night_mainland,Sum of night_zanzibar,package_accomodation,package_food,package_guided_tour,package_insurance,package_sightseeing,package_transport_int,package_transport_tz,payment_mode,purpose,Sum of total_cost,Sum of Total_days,Sum of total_female,Sum of total_male,Sum of Total_tourists,tour_arrangement,travel_with
25-44,FRANCE,Yes,tour_3792,"Friends, relatives",Wildlife tourism,Friendly People,5,0,No,No,No,No,No,No,No,Cash,Leisure and Holidays,596700,5,0,1,1,Independent,Alone
25-44,FRANCE,Yes,tour_380,"Travel, agent, tour operator",Beach tourism,No comments,3,5,Yes,Yes,Yes,No,No,Yes,Yes,Cash,Leisure and Holidays,5801250,8,1,1,2,Package Tour,Spouse
25-44,FRANCE,Yes,tour_383,"Travel, agent, tour operator",Wildlife tourism,No comments,10,5,Yes,Yes,Yes,Yes,No,Yes,Yes,Cash,Leisure and Holidays,9077320,15,1,1,2,Package Tour,Spouse
25-44,FRANCE,Yes,tour_3926,"Friends, relatives",Wildlife tourism,Friendly People,10,6,Yes,Yes,Yes,No,Yes,No,No,Cash,Leisure and Holidays,14088750,16,1,1,2,Package Tour,Spouse
25-44,FRANCE,Yes,tour_4006,"Travel, agent, tour operator",Cultural tourism,"Wonderful Country, Landscape, Nature",0,10,Yes,Yes,No,No,No,Yes,Yes,Cash,Leisure and Holidays,20553000,10,3,3,6,Package Tour,Friends/Relatives
25-44,FRANCE,Yes,tour_4009,"Travel, agent, tour operator",Wildlife tourism,"Wonderful Country, Landscape, Nature",6,6,Yes,Yes,Yes,Yes,No,No,Yes,Cash,Leisure and Holidays,1326000,12,2,2,4,Package Tour,Spouse and Children
25-44,FRANCE,Yes,tour_4025,"Travel, agent, tour operator",Wildlife tourism, Wildlife,7,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Cash,Leisure and Holidays,34807500,11,2,4,6,Package Tour,Spouse and Children
25-44,FRANCE,Yes,tour_4026,"Travel, agent, tour operator",Wildlife tourism,"Wonderful Country, Landscape, Nature",7,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Cash,Leisure and Holidays,12265500,10,1,1,2,Package Tour,Spouse
25-44,FRANCE,Yes,tour_4031,"Radio, TV, Web",Conference tourism,Excellent Experience,6,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Cash,Leisure and Holidays,4309500,6,0,1,1,Package Tour,Uknown
25-44,FRANCE,Yes,tour_4134,"Travel, agent, tour operator",Wildlife tourism,"Wonderful Country, Landscape, Nature",7,3,Yes,Yes,Yes,No,Yes,Yes,Yes,Cash,Leisure and Holidays,6646575,10,1,0,1,Package Tour,Uknown
25-44,FRANCE,Yes,tour_4157,"Travel, agent, tour operator",Beach tourism,Friendly People,0,13,No,No,No,No,No,No,No,Cash,Leisure and Holidays,2155863.5,13,1,1,2,Independent,Friends/Relatives
25-44,FRANCE,Yes,tour_4160,"Travel, agent, tour operator",Beach tourism,No comments,0,11,Yes,Yes,No,Yes,Yes,Yes,No,Cash,Leisure and Holidays,24395297.5,11,1,1,2,Package Tour,Spouse
25-44,FRANCE,Yes,tour_4198,"Travel, agent, tour operator",Cultural tourism,Excellent Experience,0,7,No,Yes,No,No,No,Yes,Yes,Cash,Leisure and Holidays,4084794,7,1,1,2,Package Tour,Spouse
25-44,FRANCE,Yes,tour_4254,"Friends, relatives",Wildlife tourism,Excellent Experience,7,0,Yes,No,Yes,Yes,Yes,Yes,Yes,Cash,Leisure and Holidays,27058687.5,7,3,2,5,Package Tour,Spouse and Children
25-44,FRANCE,Yes,tour_4255,"Newspaper, magazines,brochures",Wildlife tourism, Wildlife,14,6,No,No,No,No,No,No,No,Cash,Leisure and Holidays,1657500,20,1,1,2,Independent,Friends/Relatives
25-44,FRANCE,Yes,tour_4292,"Travel, agent, tour operator",Wildlife tourism, Wildlife,4,4,No,No,No,No,No,No,No,Cash,Leisure and Holidays,2013862.5,8,1,0,1,Independent,Uknown
25-44,FRANCE,Yes,tour_4300,"Travel, agent, tour operator",Beach tourism,Friendly People,0,4,Yes,Yes,No,No,No,No,Yes,Cash,Leisure and Holidays,5469750,4,1,1,2,Package Tour,Spouse
25-44,FRANCE,Yes,tour_4301,"Travel, agent, tour operator",Wildlife tourism, Wildlife,7,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Cash,Leisure and Holidays,1134665,10,1,1,2,Package Tour,Spouse
25-44,FRANCE,Yes,tour_432,"Friends, relatives",Wildlife tourism,Friendly People,16,0,No,No,No,No,No,No,No,Cash,Leisure and Holidays,3315000,16,0,1,1,Independent,Alone
25-44,FRANCE,Yes,tour_4383,"Travel, agent, tour operator",Wildlife tourism,Friendly People,10,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Cash,Leisure and Holidays,20514743.2,14,1,1,2,Package Tour,Spouse
25-44,FRANCE,Yes,tour_4385,"Travel, agent, tour operator",Wildlife tourism,"Wonderful Country, Landscape, Nature",10,10,No,No,No,No,No,No,No,Cash,Leisure and Holidays,28840500,20,2,2,4,Independent,Spouse and Children
25-44,FRANCE,Yes,tour_4442,others,Beach tourism, Wildlife,0,7,Yes,Yes,No,Yes,No,Yes,No,Cash,Leisure and Holidays,21672101.5,7,2,3,5,Package Tour,Spouse and Children
25-44,FRANCE,Yes,tour_4484,"Travel, agent, tour operator",Wildlife tourism,Friendly People,11,6,No,No,No,No,No,No,No,Cash,Leisure and Holidays,414375,17,1,0,1,Independent,Alone
25-44,FRANCE,Yes,tour_4547,"Travel, agent, tour operator",Beach tourism,Friendly People,0,13,Yes,Yes,No,No,No,Yes,Yes,Cash,Leisure and Holidays,5421682.5,13,1,1,2,Package Tour,Spouse
25-44,FRANCE,Yes,tour_4559,"Travel, agent, tour operator",business,Excellent Experience,7,7,Yes,Yes,Yes,No,Yes,Yes,Yes,Cash,Leisure and Holidays,5673325,14,3,0,3,Package Tour,Friends/Relatives
25-44,FRANCE,Yes,tour_4577,"Travel, agent, tour operator",Conference tourism,Friendly People,13,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Credit Card,Leisure and Holidays,202600,13,1,0,1,Package Tour,Uknown
25-44,FRANCE,Yes,tour_458,"Newspaper, magazines,brochures",Wildlife tourism,Friendly People,3,0,No,No,No,No,No,No,No,Cash,Business,680799,3,1,0,1,Independent,Uknown
25-44,FRANCE,Yes,tour_4605,others,Beach tourism,Friendly People,0,14,Yes,Yes,No,No,No,Yes,No,Cash,Leisure and Holidays,4143750,14,2,1,3,Package Tour,Spouse and Children
25-44,FRANCE,Yes,tour_4639,"Travel, agent, tour operator",Beach tourism,Friendly People,0,6,Yes,Yes,No,Yes,Yes,Yes,Yes,Credit Card,Leisure and Holidays,20950800,6,1,1,2,Package Tour,Spouse
25-44,FRANCE,Yes,tour_4689,"Travel, agent, tour operator",Wildlife tourism,No comments,7,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Cash,Leisure and Holidays,2042397,11,1,1,2,Package Tour,Spouse
25-44,FRANCE,Yes,tour_4700,"Friends, relatives",Wildlife tourism, Wildlife,7,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Cash,Leisure and Holidays,2486250,12,1,1,2,Package Tour,Spouse
25-44,FRANCE,Yes,tour_4744,others,Beach tourism,Friendly People,0,6,No,No,No,No,No,No,No,Credit Card,Leisure and Holidays,3540154.8,6,1,1,2,Independent,Spouse
25-44,FRANCE,Yes,tour_4757,"Friends, relatives",Conference tourism,No comments,15,0,No,No,No,No,No,Yes,No,Cash,Leisure and Holidays,10773750,15,1,1,2,Package Tour,Friends/Relatives
25-44,FRANCE,Yes,tour_4833,others,Beach tourism,Satisfies and Hope Come Back,0,7,Yes,Yes,No,No,Yes,Yes,Yes,Credit Card,Leisure and Holidays,6354124,7,1,1,2,Package Tour,Spouse
25-44,FRANCE,Yes,tour_4840,"Radio, TV, Web",Wildlife tourism,Friendly People,9,9,No,No,No,No,No,No,No,Cash,Leisure and Holidays,15083250,18,2,3,5,Independent,Spouse and Children
25-44,FRANCE,Yes,tour_4852,"Friends, relatives",Conference tourism,No comments,0,0,Yes,Yes,No,No,No,Yes,No,Cash,Leisure and Holidays,6795750,0,0,1,1,Package Tour,Friends/Relatives
25-44,FRANCE,Yes,tour_4881,"Travel, agent, tour operator",Wildlife tourism,Excellent Experience,9,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Cash,Leisure and Holidays,17652375,13,1,2,3,Package Tour,Children
25-44,FRANCE,Yes,tour_4901,"Travel, agent, tour operator",Wildlife tourism, Wildlife,3,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Cash,Leisure and Holidays,17403750,7,0,0,0,Package Tour,Friends/Relatives
25-44,FRANCE,Yes,tour_4928,"Friends, relatives",Wildlife tourism, Wildlife,9,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Cash,Leisure and Holidays,23147166,13,1,1,2,Package Tour,Spouse
25-44,FRANCE,Yes,tour_4999,"Travel, agent, tour operator",Wildlife tourism,"Wonderful Country, Landscape, Nature",9,5,Yes,Yes,Yes,No,Yes,Yes,Yes,Cash,Leisure and Holidays,17569500,14,1,1,2,Package Tour,Spouse
25-44,FRANCE,Yes,tour_5003,"Travel, agent, tour operator",Conference tourism,No comments,13,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Cash,Leisure and Holidays,9066525,13,7,6,13,Package Tour,Friends/Relatives
25-44,FRANCE,Yes,tour_5031,"Radio, TV, Web",Wildlife tourism, Wildlife,11,6,Yes,Yes,Yes,No,Yes,No,No,Cash,Leisure and Holidays,11723497.5,17,1,1,2,Package Tour,Spouse
25-44,FRANCE,Yes,tour_5044,"Newspaper, magazines,brochures",Beach tourism,Excellent Experience,0,17,Yes,Yes,No,No,Yes,Yes,Yes,Cash,Leisure and Holidays,2486250,17,1,1,2,Package Tour,Spouse
25-44,FRANCE,Yes,tour_5098,others,Hunting tourism, Wildlife,0,7,No,No,No,No,No,No,No,Cash,Leisure and Holidays,232050,7,1,1,2,Independent,Spouse
25-44,FRANCE,Yes,tour_5123,"Travel, agent, tour operator",Conference tourism,Friendly People,6,2,Yes,Yes,Yes,No,Yes,No,Yes,Cash,Leisure and Holidays,4292925,8,1,0,1,Package Tour,Uknown
25-44,FRANCE,Yes,tour_5132,"Radio, TV, Web",Beach tourism,"Wonderful Country, Landscape, Nature",0,7,No,No,No,No,No,No,No,Cash,Leisure and Holidays,13094250,7,2,2,4,Independent,Spouse and Children
25-44,FRANCE,Yes,tour_5151,"Travel, agent, tour operator",Beach tourism,Excellent Experience,0,14,Yes,Yes,Yes,Yes,No,Yes,No,Credit Card,Leisure and Holidays,9077320,14,1,1,2,Package Tour,Spouse
25-44,FRANCE,Yes,tour_5197,"Friends, relatives",Beach tourism, Wildlife,5,5,No,Yes,Yes,Yes,Yes,Yes,Yes,Cash,Leisure and Holidays,680799,10,1,1,2,Package Tour,Spouse
25-44,FRANCE,Yes,tour_5264,"Radio, TV, Web",Beach tourism,"Wonderful Country, Landscape, Nature",0,14,No,No,No,No,No,No,No,Cash,Leisure and Holidays,9077320,14,2,0,2,Independent,Friends/Relatives
25-44,FRANCE,Yes,tour_5320,"Friends, relatives",Wildlife tourism,Friendly People,11,7,Yes,Yes,Yes,No,No,Yes,Yes,Cash,Leisure and Holidays,21050250,18,3,1,4,Package Tour,Spouse and Children
25-44,FRANCE,Yes,tour_5399,"Travel, agent, tour operator",Wildlife tourism,Friendly People,14,0,No,No,No,No,No,No,No,Cash,Business,3903247.6,14,1,0,1,Independent,Alone
25-44,FRANCE,Yes,tour_5416,"Newspaper, magazines,brochures",Beach tourism,Friendly People,0,2,Yes,Yes,Yes,Yes,No,Yes,Yes,Cash,Business,8337225,2,1,1,2,Package Tour,Spouse
25-44,FRANCE,Yes,tour_5454,"Travel, agent, tour operator",Conference tourism,Good service,6,5,Yes,No,No,No,No,Yes,Yes,Cash,Leisure and Holidays,14977578,11,1,1,2,Package Tour,Spouse
25-44,FRANCE,Yes,tour_5457,"Travel, agent, tour operator",Wildlife tourism, Wildlife,4,6,Yes,Yes,Yes,No,Yes,Yes,Yes,Cash,Leisure and Holidays,17082195,10,1,1,2,Package Tour,Spouse
25-44,FRANCE,Yes,tour_5463,"Travel, agent, tour operator",Beach tourism,Excellent Experience,6,4,Yes,No,Yes,No,Yes,Yes,Yes,Cash,Leisure and Holidays,17403750,10,2,2,4,Package Tour,Spouse and Children
25-44,FRANCE,Yes,tour_5474,"Travel, agent, tour operator",Wildlife tourism, Wildlife,10,11,No,No,No,No,No,No,No,Cash,Leisure and Holidays,19890000,21,2,1,3,Independent,Spouse
25-44,FRANCE,Yes,tour_5653,"Travel, agent, tour operator",Wildlife tourism, Wildlife,4,0,Yes,Yes,Yes,No,Yes,No,Yes,Cash,Leisure and Holidays,2353650,4,1,0,1,Package Tour,Alone
25-44,FRANCE,Yes,tour_5756,"Travel, agent, tour operator",Wildlife tourism,Good service,7,7,Yes,Yes,Yes,Yes,No,Yes,Yes,Cash,Leisure and Holidays,17569500,14,1,1,2,Independent,Spouse
25-44,FRANCE,Yes,tour_5774,"Friends, relatives",business,No comments,0,14,No,No,No,No,No,No,No,Cash,Leisure and Holidays,6961500,14,2,1,3,Independent,Spouse and Children
25-44,FRANCE,Yes,tour_5805,"Friends, relatives",Conference tourism,"Wonderful Country, Landscape, Nature",5,2,No,No,No,No,No,No,No,Cash,Leisure and Holidays,4972500,7,1,0,1,Independent,Alone
25-44,FRANCE,Yes,tour_5809,"Friends, relatives",Beach tourism,"Wonderful Country, Landscape, Nature",0,6,No,No,No,No,No,No,No,Cash,Leisure and Holidays,9116250,6,1,1,2,Independent,Friends/Relatives
25-44,FRANCE,Yes,tour_5819,"Travel, agent, tour operator",Wildlife tourism,Excellent Experience,9,0,Yes,Yes,Yes,No,Yes,Yes,Yes,Cash,Leisure and Holidays,16566109,9,1,2,3,Package Tour,Children
25-44,FRANCE,Yes,tour_5841,"Travel, agent, tour operator",Beach tourism,"Wonderful Country, Landscape, Nature",0,6,Yes,Yes,No,No,No,Yes,Yes,Cash,Leisure and Holidays,23601032,6,2,2,4,Package Tour,Friends/Relatives
25-44,FRANCE,Yes,tour_5843,"Travel, agent, tour operator",Cultural tourism, Wildlife,7,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Cash,Leisure and Holidays,14917500,12,1,1,2,Package Tour,Spouse
25-44,FRANCE,Yes,tour_5896,"Travel, agent, tour operator",business,Friendly People,7,11,Yes,Yes,Yes,Yes,No,Yes,Yes,Cash,Leisure and Holidays,18232500,18,1,1,2,Package Tour,Spouse
25-44,FRANCE,Yes,tour_5924,"Travel, agent, tour operator",Wildlife tourism, Wildlife,7,0,Yes,Yes,Yes,No,Yes,Yes,Yes,Cash,Leisure and Holidays,2836662.5,7,1,1,2,Package Tour,Spouse
25-44,FRANCE,Yes,tour_5949,"Travel, agent, tour operator",Cultural tourism, Wildlife,0,9,Yes,No,No,Yes,Yes,Yes,Yes,Cash,Leisure and Holidays,5967000,9,1,1,2,Package Tour,Spouse
25-44,FRANCE,Yes,tour_6034,"Friends, relatives",Conference tourism,No comments,13,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Cash,Leisure and Holidays,14296779,13,1,1,2,Package Tour,Spouse
25-44,FRANCE,Yes,tour_6084,"Travel, agent, tour operator",Wildlife tourism, Wildlife,6,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Credit Card,Leisure and Holidays,15497625,6,1,1,2,Package Tour,Spouse
25-44,FRANCE,Yes,tour_6088,"Travel, agent, tour operator",Wildlife tourism,"Wonderful Country, Landscape, Nature",11,0,Yes,Yes,Yes,No,Yes,No,Yes,Cash,Leisure and Holidays,7458750,11,1,1,2,Package Tour,Spouse
25-44,FRANCE,Yes,tour_6109,"Radio, TV, Web",Wildlife tourism, Wildlife,0,4,No,No,No,No,No,No,No,Cash,Leisure and Holidays,1588531,4,1,1,2,Independent,Spouse
25-44,FRANCE,Yes,tour_6165,"Travel, agent, tour operator",Wildlife tourism, Wildlife,7,10,No,No,No,No,No,No,No,Credit Card,Leisure and Holidays,580125,17,0,1,1,Independent,Alone
25-44,FRANCE,Yes,tour_65,"Newspaper, magazines,brochures",Cultural tourism,Good service,50,10,No,No,No,No,No,No,No,Cash,Leisure and Holidays,7226700,60,1,1,2,Independent,Spouse
25-44,FRANCE,Yes,tour_72,"Friends, relatives",Cultural tourism,No comments,0,7,No,No,No,No,No,No,No,Credit Card,Leisure and Holidays,8287500,7,1,1,2,Independent,Spouse
25-44,FRANCE,Yes,tour_720,"Friends, relatives",Wildlife tourism,No comments,7,14,Yes,Yes,No,No,No,Yes,Yes,Cash,Leisure and Holidays,20553000,21,2,2,4,Package Tour,Spouse and Children
25-44,FRANCE,Yes,tour_725,"Travel, agent, tour operator",Hunting tourism,No comments,3,0,No,No,No,No,No,No,No,Cash,Meetings and Conference,1657500,3,0,1,1,Independent,Alone
25-44,FRANCE,Yes,tour_775,"Travel, agent, tour operator",Wildlife tourism, Wildlife,6,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Cash,Leisure and Holidays,16740750,10,1,3,4,Package Tour,Spouse and Children
25-44,FRANCE,Yes,tour_782,others,Wildlife tourism,Excellent Experience,15,6,No,No,No,No,No,No,No,Cash,Leisure and Holidays,4972500,21,1,1,2,Independent,Friends/Relatives
25-44,FRANCE,Yes,tour_824,"Travel, agent, tour operator",Wildlife tourism,No comments,7,6,Yes,Yes,No,No,No,Yes,Yes,Cash,Leisure and Holidays,680799,13,1,1,2,Package Tour,Spouse
25-44,FRANCE,Yes,tour_84,Tanzania Mission Abroad,Wildlife tourism, Wildlife,4,4,Yes,No,Yes,No,Yes,No,No,Cash,Leisure and Holidays,12762750,8,0,1,1,Package Tour,Alone
25-44,GERMANY,No,tour_11,"Friends, relatives",Beach tourism,No comments,4,0,No,No,No,No,No,No,No,Cash,Visiting Friends and Relatives,165750,4,0,1,1,Independent,Uknown
25-44,GERMANY,No,tour_1222,"Friends, relatives",Hunting tourism,Friendly People,10,0,No,No,No,No,No,No,No,Cash,Leisure and Holidays,1134665,10,1,0,1,Independent,Uknown
25-44,GERMANY,No,tour_1646,"Travel, agent, tour operator",Conference tourism,No comments,9,0,Yes,Yes,No,No,No,Yes,Yes,Cash,Leisure and Holidays,4641000,9,1,1,2,Package Tour,Friends/Relatives
25-44,GERMANY,No,tour_221,others,Wildlife tourism,Friendly People,30,2,No,No,No,No,No,No,No,Credit Card,Leisure and Holidays,580125,32,1,0,1,Independent,Uknown
25-44,GERMANY,No,tour_2888,"Newspaper, magazines,brochures",Wildlife tourism,Good service,14,0,No,No,No,No,No,No,No,Cash,Leisure and Holidays,7624500,14,3,1,4,Independent,Spouse and Children
25-44,GERMANY,No,tour_307,"Friends, relatives",Beach tourism,Friendly People,9,12,No,No,No,No,No,No,No,Cash,Leisure and Holidays,29500000,21,3,0,3,Independent,Friends/Relatives
25-44,GERMANY,No,tour_3387,Tanzania Mission Abroad,Wildlife tourism,"Wonderful Country, Landscape, Nature",1,0,No,No,No,No,No,No,No,Cash,Meetings and Conference,497250,1,1,0,1,Independent,Uknown
25-44,GERMANY,No,tour_3583,"Travel, agent, tour operator",Conference tourism,Good service,10,0,Yes,Yes,Yes,No,Yes,No,Yes,Cash,Leisure and Holidays,3348150,10,0,1,1,Package Tour,Alone
25-44,GERMANY,No,tour_3747,"Travel, agent, tour operator",Beach tourism, Wildlife,3,2,Yes,Yes,Yes,Yes,No,Yes,Yes,Cash,Leisure and Holidays,9077320,5,1,1,2,Package Tour,Spouse
25-44,GERMANY,No,tour_4262,"Friends, relatives",Beach tourism,Friendly People,36,2,No,No,No,No,No,No,No,Cash,Visiting Friends and Relatives,6807990,38,3,1,4,Independent,Spouse and Children
25-44,GERMANY,No,tour_4753,others,Conference tourism,"Wonderful Country, Landscape, Nature",13,0,No,No,No,No,No,No,No,Credit Card,Meetings and Conference,3403995,13,0,1,1,Independent,Alone
25-44,GERMANY,No,tour_4841,"Friends, relatives",Beach tourism,"Wonderful Country, Landscape, Nature",0,15,No,No,No,No,No,No,No,Cash,Visiting Friends and Relatives,794265.5,15,1,0,1,Independent,Alone
25-44,GERMANY,No,tour_5190,"Friends, relatives",Beach tourism,"Wonderful Country, Landscape, Nature",0,14,No,No,No,No,No,No,No,Cash,Visiting Friends and Relatives,4538660,14,1,3,4,Independent,Spouse and Children
25-44,GERMANY,No,tour_5950,"Newspaper, magazines,brochures",Wildlife tourism, Wildlife,16,5,Yes,Yes,No,No,No,Yes,Yes,Cash,Leisure and Holidays,35139000,21,2,3,5,Package Tour,Spouse and Children
25-44,GERMANY,No,tour_599,"Radio, TV, Web",Mountain climbing,No comments,3,0,No,No,No,No,No,No,No,Credit Card,Meetings and Conference,265200,3,2,0,2,Independent,Friends/Relatives
25-44,GERMANY,No,tour_930,"Travel, agent, tour operator",Hunting tourism,"Wonderful Country, Landscape, Nature",20,0,No,No,No,No,No,No,No,Cash,Leisure and Holidays,1000000,20,1,1,2,Independent,Friends/Relatives
25-44,GERMANY,Yes,tour_1024,"Friends, relatives",Cultural tourism,Friendly People,3,0,No,No,No,No,No,No,No,Cash,Visiting Friends and Relatives,2269330,3,1,1,2,Independent,Children
25-44,GERMANY,Yes,tour_1126,"Friends, relatives",Hunting tourism,Friendly People,4,2,No,No,No,No,No,No,No,Cash,Leisure and Holidays,1657500,6,0,1,1,Independent,Alone
25-44,GERMANY,Yes,tour_1208,Trade fair,Cultural tourism,Friendly People,13,5,No,No,No,No,No,No,No,Cash,Leisure and Holidays,9077320,18,2,0,2,Independent,Friends/Relatives
25-44,GERMANY,Yes,tour_1282,"Travel, agent, tour operator",Wildlife tourism,Friendly People,6,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Credit Card,Leisure and Holidays,2269330,12,1,1,2,Package Tour,Spouse
25-44,GERMANY,Yes,tour_1304,"Travel, agent, tour operator",Beach tourism, Wildlife,1,0,No,No,No,No,No,No,No,Cash,Leisure and Holidays,215475,1,1,1,2,Independent,Spouse
25-44,GERMANY,Yes,tour_1306,"Travel, agent, tour operator",Beach tourism, Wildlife,10,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Cash,Leisure and Holidays,20718750,13,1,5,6,Package Tour,Friends/Relatives
25-44,GERMANY,Yes,tour_1319,"Friends, relatives",Wildlife tourism, Wildlife,10,4,No,No,No,No,No,No,No,Cash,Leisure and Holidays,1657500,14,0,2,2,Independent,Friends/Relatives
25-44,GERMANY,Yes,tour_1356,"Newspaper, magazines,brochures",Beach tourism,Friendly People,7,5,No,No,No,No,No,No,No,Credit Card,Leisure and Holidays,4538660,12,1,1,2,Independent,Spouse and Children
25-44,GERMANY,Yes,tour_1387,"Travel, agent, tour operator",Wildlife tourism,Friendly People,7,6,Yes,Yes,No,No,Yes,Yes,Yes,Cash,Leisure and Holidays,165750,13,1,1,2,Package Tour,Spouse
25-44,GERMANY,Yes,tour_143,others,Wildlife tourism,Good service,20,10,No,No,No,No,No,No,No,Cash,Leisure and Holidays,22693300,30,1,1,2,Independent,Friends/Relatives
25-44,GERMANY,Yes,tour_1534,"Travel, agent, tour operator",Conference tourism,No comments,9,0,Yes,Yes,Yes,No,Yes,Yes,No,Cash,Leisure and Holidays,5884125,9,0,1,1,Package Tour,Uknown
25-44,GERMANY,Yes,tour_1536,others,Wildlife tourism,Friendly People,6,0,No,No,No,No,No,No,No,Cash,Meetings and Conference,567332.5,6,0,1,1,Independent,Alone
25-44,GERMANY,Yes,tour_1565,others,Wildlife tourism,Friendly People,20,0,Yes,No,Yes,No,Yes,Yes,Yes,Cash,Leisure and Holidays,10665851,20,1,1,2,Package Tour,Friends/Relatives
25-44,GERMANY,Yes,tour_1614,"Friends, relatives",Wildlife tourism, Wildlife,5,0,Yes,Yes,No,No,No,No,Yes,Cash,Leisure and Holidays,6961500,5,2,1,3,Package Tour,Friends/Relatives
25-44,GERMANY,Yes,tour_1656,others,Wildlife tourism, Wildlife,11,4,No,No,No,No,No,No,No,Cash,Leisure and Holidays,4538660,15,1,1,2,Independent,Spouse
25-44,GERMANY,Yes,tour_1720,"Travel, agent, tour operator",Conference tourism,Good service,14,0,Yes,Yes,No,No,No,No,Yes,Cash,Leisure and Holidays,5756497.5,14,1,0,1,Independent,Uknown
25-44,GERMANY,Yes,tour_1844,"Travel, agent, tour operator",Wildlife tourism,Friendly People,5,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Cash,Leisure and Holidays,7127250,5,1,1,2,Package Tour,Spouse
25-44,GERMANY,Yes,tour_1891,"Newspaper, magazines,brochures",Conference tourism,Good service,9,0,Yes,Yes,Yes,No,No,No,Yes,Cash,Leisure and Holidays,3812250,9,0,1,1,Package Tour,Alone
25-44,GERMANY,Yes,tour_2067,"Friends, relatives",Beach tourism,No comments,5,0,No,No,No,No,No,No,No,Cash,Business,1657500,5,1,0,1,Independent,Alone
25-44,GERMANY,Yes,tour_2071,"Friends, relatives",Hunting tourism,Friendly People,23,0,Yes,No,No,No,No,Yes,No,Cash,Scientific and Academic,253000,23,0,1,1,Package Tour,Alone
25-44,GERMANY,Yes,tour_2146,"Friends, relatives",Beach tourism, Wildlife,0,13,No,No,No,No,No,No,No,Cash,Leisure and Holidays,9945000,13,1,2,3,Independent,Spouse and Children
25-44,GERMANY,Yes,tour_2172,"Newspaper, magazines,brochures",Wildlife tourism,No comments,13,7,Yes,Yes,Yes,No,Yes,No,Yes,Credit Card,Leisure and Holidays,6217964.2,20,2,0,2,Package Tour,Friends/Relatives
25-44,GERMANY,Yes,tour_2265,"Travel, agent, tour operator",Wildlife tourism,No comments,7,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Cash,Leisure and Holidays,994500,13,1,1,2,Package Tour,Spouse
25-44,GERMANY,Yes,tour_2409,"Friends, relatives",Beach tourism,Friendly People,14,0,No,No,No,No,No,No,No,Cash,Leisure and Holidays,8287500,14,2,5,7,Independent,Uknown
25-44,GERMANY,Yes,tour_2417,"Travel, agent, tour operator",Wildlife tourism,No comments,7,7,Yes,Yes,Yes,Yes,Yes,Yes,No,Cash,Leisure and Holidays,17403750,14,1,1,2,Package Tour,Spouse
25-44,GERMANY,Yes,tour_2517,"Newspaper, magazines,brochures",Wildlife tourism, Wildlife,6,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Cash,Leisure and Holidays,11271000,10,1,1,2,Package Tour,Spouse
25-44,GERMANY,Yes,tour_2670,"Friends, relatives",Wildlife tourism,No comments,3,0,No,No,No,No,No,No,No,Credit Card,Business,300000,3,0,1,1,Independent,Uknown
25-44,GERMANY,Yes,tour_2710,"Travel, agent, tour operator",Wildlife tourism, Wildlife,7,7,Yes,Yes,Yes,No,Yes,Yes,No,Cash,Leisure and Holidays,16575000,14,1,1,2,Package Tour,Spouse
25-44,GERMANY,Yes,tour_2795,others,Wildlife tourism,"Wonderful Country, Landscape, Nature",60,0,No,No,No,No,No,No,No,Cash,Scientific and Academic,4538660,60,1,0,1,Independent,Uknown
25-44,GERMANY,Yes,tour_2883,"Travel, agent, tour operator",Cultural tourism,Excellent Experience,9,3,Yes,Yes,Yes,No,No,No,Yes,Cash,Leisure and Holidays,2237625,12,1,0,1,Package Tour,Uknown
25-44,GERMANY,Yes,tour_2940,others,Cultural tourism,Friendly People,3,0,No,No,No,No,No,No,No,Cash,Meetings and Conference,1657500,3,0,1,1,Independent,Uknown
25-44,GERMANY,Yes,tour_2963,"Friends, relatives",Wildlife tourism,Good service,9,11,No,No,No,No,No,No,No,Cash,Leisure and Holidays,861900,20,1,0,1,Independent,Spouse
